block,timestamp,apy
15058080,1656698555,36420031204412598
15060580,1656731910,36462960897240303
15063080,1656764643,36479369471724162
15065580,1656798360,36456737678713243
15068080,1656831780,36478166603898423
15070580,1656864788,36522148644049976
15073080,1656897900,36404482334485740
15075580,1656931796,36445917038665422
15078080,1656964601,36364954015787775
15080580,1656998159,36418590132757758
15083080,1657031404,36445556126457431
15085580,1657065126,36399366783618551
15088080,1657099331,36435139256116026
15090580,1657132484,36351141884344183
15093080,1657165911,36379895895751294
15095580,1657198648,36343519835366192
15098080,1657232905,36402074318060403
15100580,1657265530,36457772520858854
15103080,1657298654,36361945361999988
15105580,1657331603,36406722355444885
