block,timestamp,fixed_rate,available_ft,slippage_ft_10000,slippage_ft_100000,slippage_ft_1000000,slippage_ft_10000000,available_vt,slippage_vt_10000,slippage_vt_100000,slippage_vt_1000000,slippage_vt_10000000
14883716,1654070650,0.010000,0,0.009990,0.009990,0.009990,0.009990,0,10.009010,10.009010,10.009010,10.009010
14888516,1654138527,0.010376,1162492.429991,0.000048,0.000450,0.005155,0.010366,1696146.569944,0.000049,0.000639,0.014749,10.008635
14893316,1654205995,0.010370,2493971.445989,0.000035,0.000353,0.004207,0.010360,1852502.55381,0.000036,0.000546,0.011834,10.008641
14898116,1654273530,0.010441,3013701.187507,0.000036,0.000354,0.004154,0.010431,1914328.812274,0.000040,0.000566,0.011056,10.008569
14902916,1654340818,0.010476,3463390.348301,0.000029,0.000266,0.002936,0.010466,2395844.651425,0.000033,0.000377,0.005183,10.008535
14907716,1654412763,0.010445,4994598.381736,0.000018,0.000167,0.002143,0.010435,3861434.767965,0.000018,0.000199,0.002659,10.008566
14912516,1654482551,0.010493,5445135.205724,0.000016,0.000147,0.001855,0.010483,4041977.053779,0.000016,0.000168,0.002277,10.008518
14917316,1654553506,0.010439,5697891.297769,0.000014,0.000139,0.001783,0.010429,4291152.961695,0.000015,0.000155,0.002116,10.008571
14922116,1654623695,0.010435,5729329.804604,0.000014,0.000135,0.001738,0.010425,4379606.454854,0.000015,0.000149,0.002029,10.008575
14926916,1654694649,0.010878,6057096.092647,0.000015,0.000152,0.001574,0.010868,4372248.966816,0.000016,0.000161,0.002074,10.008132
14931716,1654765074,0.010926,6408169.673519,0.000015,0.000150,0.001512,0.010916,4388170.885908,0.000015,0.000161,0.002056,10.008084
14936516,1654835388,0.010926,6450342.790766,0.000015,0.000141,0.001441,0.010916,4438661.768655,0.000014,0.000151,0.001997,10.008084
14941316,1654906497,0.010926,6450525.564202,0.000015,0.000141,0.001441,0.010916,4438839.995194,0.000014,0.000151,0.001997,10.008084
14946116,1654977606,0.010921,7098730.027834,0.000012,0.000124,0.001188,0.010911,4988005.531558,0.000013,0.000131,0.001641,10.008090
14950916,1655047955,0.010894,7075643.551928,0.000013,0.000123,0.001197,0.010884,5001202.007463,0.000013,0.000129,0.001631,10.008117
14955716,1655119133,0.010893,7074977.840344,0.000013,0.000123,0.001197,0.010883,5002317.719048,0.000013,0.000128,0.001631,10.008118
14960516,1655190929,0.010891,7073030.322439,0.000013,0.000123,0.001198,0.010881,5002515.236957,0.000012,0.000128,0.001629,10.008119
14965316,1655263059,0.010888,7081900.937553,0.000012,0.000121,0.001181,0.010878,5033644.621842,0.000013,0.000127,0.001597,10.008122
14970116,1655334950,0.010889,7050849.040172,0.000013,0.000127,0.001230,0.010879,5015806.519225,0.000012,0.000131,0.001631,10.008121
14974916,1655405637,0.011005,7139822.554668,0.000013,0.000131,0.001206,0.010995,4927086.004723,0.000014,0.000145,0.001684,10.008005
14979716,1655476686,0.011002,7215432.360838,0.000013,0.000130,0.001203,0.010992,4951856.698541,0.000014,0.000145,0.001679,10.008008
14984516,1655548818,0.011146,7314561.85083,0.000016,0.000145,0.001188,0.011136,4852851.208555,0.000014,0.000153,0.001725,10.007864
14989316,1655619619,0.011140,7315350.907623,0.000014,0.000144,0.001185,0.011130,4856988.151756,0.000016,0.000153,0.001723,10.007870
14994116,1655691961,0.011140,7314958.053288,0.000016,0.000144,0.001186,0.011130,4858483.006093,0.000014,0.000153,0.001722,10.007870
14998916,1655762766,0.011128,7308668.217584,0.000014,0.000142,0.001186,0.011118,4866012.841766,0.000016,0.000152,0.001718,10.007882
15003716,1655837815,0.011140,7316493.82411,0.000016,0.000144,0.001185,0.011130,4858297.235238,0.000014,0.000153,0.001722,10.007870
15008516,1655915377,0.011449,7516843.453988,0.000015,0.000156,0.001271,0.011439,4658697.605358,0.000016,0.000161,0.001831,10.007562
15018116,1656071243,0.011448,7515855.169256,0.000016,0.000157,0.001271,0.011438,4661565.890087,0.000016,0.000159,0.001827,10.007563
15022916,1656147373,0.010929,7169413.507367,0.000013,0.000127,0.001213,0.010919,5018007.551971,0.000013,0.000135,0.001637,10.008082
15027716,1656225800,0.010936,7174621.507367,0.000013,0.000128,0.001212,0.010926,5012799.551971,0.000012,0.000134,0.001640,10.008074
15032516,1656304275,0.010935,7097145.92216,0.000013,0.000127,0.001215,0.010925,4983475.137179,0.000013,0.000135,0.001644,10.008075
15037316,1656380510,0.010808,6997208.682423,0.000013,0.000125,0.001243,0.010798,5083512.376915,0.000012,0.000127,0.001586,10.008203
15042116,1656458219,0.010801,6997144.934129,0.000013,0.000125,0.001243,0.010791,5094676.125178,0.000012,0.000127,0.001582,10.008209
15046916,1656536565,0.010801,7009899.941063,0.000013,0.000122,0.001224,0.010791,5181911.118246,0.000012,0.000125,0.001543,10.008209
15051716,1656612432,0.010800,7009707.781691,0.000012,0.000121,0.001223,0.010790,5182174.277619,0.000013,0.000126,0.001544,10.008210
15056516,1656677095,0.010799,7008638.570756,0.000012,0.000121,0.001224,0.010789,5184643.488549,0.000013,0.000125,0.001542,10.008211
15061316,1656741352,0.010799,7006357.942341,0.000012,0.000122,0.001228,0.010789,5161934.116968,0.000013,0.000126,0.001548,10.008211
15066116,1656805753,0.010499,6758106.481083,0.000012,0.000108,0.001303,0.010489,5413541.578221,0.000012,0.000117,0.001412,10.008511
15070916,1656869425,0.010494,6760352.455824,0.000010,0.000108,0.001302,0.010484,5423732.603469,0.000012,0.000117,0.001409,10.008517
15075716,1656933584,0.010230,6505740.676767,0.000010,0.000105,0.001397,0.010220,5670552.382522,0.000011,0.000104,0.001271,10.008781
15080516,1656997461,0.010230,6506720.102531,0.000010,0.000105,0.001397,0.010220,5670634.956757,0.000011,0.000104,0.001271,10.008781
15085316,1657061487,0.010241,6516718.892531,0.000011,0.000106,0.001394,0.010231,5660636.166757,0.000010,0.000103,0.001276,10.008770
15090116,1657126184,0.010035,6318739.504082,0.000010,0.000140,0.001463,0.010025,5865815.555198,0.000010,0.000100,0.001174,10.008975
15094916,1657189279,0.010035,6325766.069493,0.000010,0.000135,0.001455,0.010025,5934810.089792,0.000009,0.000098,0.001139,10.008975
15099716,1657253455,0.009438,5925766.069495,0.000015,0.000151,0.001372,0.009428,6334810.089784,0.000015,0.000152,0.001228,10.009572
15104516,1657317281,0.009435,5923686.069497,0.000015,0.000150,0.001371,0.009425,6337030.089781,0.000015,0.000152,0.001228,10.009576
15109316,1657381864,0.009418,6042285.476666,0.000016,0.000150,0.001368,0.009408,6348816.682598,0.000015,0.000152,0.001231,10.009593
15114116,1657445237,0.009410,6039871.038095,0.000015,0.000149,0.001366,0.009400,6353446.121165,0.000015,0.000152,0.001234,10.009600
15118916,1657509737,0.009410,6039870.594751,0.000015,0.000149,0.001366,0.009400,6353472.564517,0.000015,0.000152,0.001234,10.009600
15123716,1657573998,0.009407,6042847.821371,0.000015,0.000149,0.001364,0.009397,6361604.337887,0.000015,0.000152,0.001233,10.009603
15128516,1657638006,0.009407,6042746.821371,0.000015,0.000149,0.001364,0.009397,6361705.337887,0.000015,0.000152,0.001233,10.009603
15133316,1657702065,0.009407,6042746.821371,0.000015,0.000149,0.001364,0.009397,6361705.337887,0.000015,0.000152,0.001233,10.009603
15138116,1657766984,0.009407,6042746.821371,0.000015,0.000149,0.001364,0.009397,6361705.337887,0.000015,0.000152,0.001233,10.009603
15142916,1657830000,0.009483,6013440.234181,0.000015,0.000151,0.001382,0.009473,6281011.925084,0.000015,0.000153,0.001220,10.009528
15147716,1657894200,0.009480,6011975.441647,0.000015,0.000151,0.001381,0.009470,6283176.717619,0.000015,0.000153,0.001219,10.009530
15152516,1657958341,0.009479,6012536.653597,0.000015,0.000150,0.001380,0.009469,6283817.505626,0.000015,0.000153,0.001220,10.009531
15157316,1658022675,0.009477,6016661.455706,0.000015,0.000151,0.001380,0.009467,6287104.703523,0.000015,0.000152,0.001220,10.009533
15162116,1658087569,0.009475,6020666.80329,0.000015,0.000151,0.001379,0.009465,6289515.355941,0.000015,0.000152,0.001220,10.009535
15166916,1658151038,0.009454,4820151.803331,0.000016,0.000157,0.001425,0.009444,6289530.355935,0.000016,0.000158,0.001241,10.009556
15171716,1658215815,0.009454,4820151.803331,0.000016,0.000157,0.001425,0.009444,6289290.355933,0.000016,0.000158,0.001241,10.009556
15176516,1658280036,0.009453,4819151.709949,0.000015,0.000156,0.001424,0.009443,6290390.449281,0.000016,0.000159,0.001241,10.009558
