"HolderAddress","Quantity","PendingBalanceUpdate"
"0x2b19fde5d7377b48be50a5d0a78398a496e8b15c","13","No"
"0x6d2eb3f08087a2e7622685d3606d3c8cd29fe9ac","10","No"
"0x922dd181a24e9dadcbf6cd76b3fe50a5be239655","10","No"
"0x61da516f87cc217ff834baf3f4af7f9214eabd12","10","No"
"0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2","10","No"
"0xf364156a8df7064583a4a694b3332a4237c34b93","8","No"
"0x59dd4aa78ffdec9c2a4c7a0e3cd654513b3f018e","5","No"
"0xcf54b70bf3cec789dea3b7b2a01d3147cd6cd0ef","5","No"
"0x20ca1e75384e41972c49068da22fa074af9f1058","5","No"
"0x7a67928bb379974768668d50ab991eefb5f08c0e","4","No"
"0x335147a6afcfe1136d9341c9a264f4a69616ad7a","4","No"
"0x63c1e553014905b1c8852e0570b1c019cddc9cba","4","No"
"0xaaac34d30d6938787c653aafb922bc20bfa9c512","4","No"
"0xc03f20c45585240a737bc7d6c206ee59a46460c1","4","No"
"0xb0d56c1f451babc78746b20bbfa5f6d41bf44478","3","No"
"0x7f9951a408c3384ae8d8e3f6a2d2f60f53e7eeb0","3","No"
"0x2cced186c0b172443884b0dae52695e847ee010d","3","No"
"0x067232d22d5bb8dc7cdaba5a909ac8b089539462","3","No"
"0x4dff12faefbb14786a7b0d18a46ff0c0057d1655","3","No"
"0x037b22bd2ed3df1e5bb8fbf7faa2feac9dda22b0","3","No"
"0x0b6726d84b553351e8b85b21a37f2b69a0801732","3","No"
"0x95439b23f5782488a2cfeef13e983909cc3042d0","3","No"
"0x34aa03ad8af42c7aeae9c2f185c6f1b7847b0e8f","3","No"
"0xf92e5b2e1ea0c6a4cb4ebb44ed51ea235cde4d42","3","No"
"0x38483df47fc7237586e3333ce2499bb6857e2ae7","3","No"
"0x7da0e97cb78832463914392b5d414c1befa1fb01","2","No"
"0xc21a7fcc250cf5ca58708ca3c80889e7076c6ada","2","No"
"0x410a0887cc91ccf1e8db56422b9a5d8b078c2200","2","No"
"0xabb88f61b11031fec066810dcfb473afeb85be1f","2","No"
"0x421e220278e5cf3b5512a28816d8d7edeaffdf55","2","No"
"0xf60f6d5acfaae09e666f0efac21b29290e4a9109","2","No"
"0x13bb7b54eb9133514f20c98f6587362ebc800ebc","2","No"
"0x25cd302e37a69d70a6ef645daea5a7de38c66e2a","2","No"
"0x63281bbd2e9ccb1cd7b7ad31b4db02725dbbedd3","2","No"
"0xe1e8d618eb6d40b33354161fb13c8f2d460b47bb","2","No"
"0xb7864ebc4a396281b6a91ef956d4b6479d578124","2","No"
"0xa37271736c9d3e27a65d75b3839bf3638191c1fc","2","No"
"0x96fca82bb2ce4c5a700a14581412366cc05dd6fa","2","No"
"0x654d24ee1cc2c115c799332ffd0a039705e085b0","2","No"
"0x06a6cd08ec265e5eafbe8a7edceb119792eb3870","2","No"
"0x30a5fbd08ac60998cba6c8812983371ecf29fa23","2","No"
"0x6a1c621d5b5ecc4bbf94bbe764898f66e96fcd5a","2","No"
"0xa811576c34770f1a7696c612c4437cfa6a73b2d5","2","No"
"0xa47f68826abe8d3a20ee1b1458f3156e6c7b5277","2","No"
"0x59b02e6738d03f1f501ed74dfb2d9b43fdd9ee4d","2","No"
"0x22db8463e8a881dc3f6d3e2bc8f21fdc15a08717","2","No"
"0x47b3fab6a3b16d05d8eab43295744e7555a0623b","2","No"
"0x671e4a04ba38381aff62e3c0a0cec2c064725d30","2","No"
"0xf637978800670ba2a978501d86f73442e108f946","2","No"
"0xff70bb0964ce8e9e8132b0dc2e0d774727d56092","2","No"
"0xee207b1f89ca8c1d6765aeccc8b43e97df8572cf","2","No"
"0xf3eab2365c8689d7d429e9cf03c78b29f07907b1","2","No"
"0xfc6a6410692d92a67dcfa7f8bf523887d89ffbdc","2","No"
"0x994cdf8e62034127de752dc46427e9db8419e118","2","No"
"0xfd4295c1a0b07e6b706f0ab83dc9eb461b7f17b3","1","No"
"0x404f4c126df0127e5bc3ecf2d566099fd29509e1","1","No"
"0x4fc06231d9bb175dacf6b482ea236d5de1101317","1","No"
"0x886f55e670cf0e0749cae8e58ba355ae5f804575","1","No"
"0x5d0569904da31a914eec249efdb6a399c3d3e3ee","1","No"
"0x82e9a55afb16a26ff840e83dec37e7088774c8ee","1","No"
"0xe59bf560a9a7f747443db30d027a0a8d9262c25b","1","No"
"0xbee3c272ad4215cb352291af334ddc014bb3c20b","1","No"
"0x1e4942b1a4fab51ec950e5cccc957497b37d1103","1","No"
"0x00ee80c322d6e956d2629a73223605bbda946f2d","1","No"
"0x4f27ee7ad5ef8d881f62511a36a245e99eaed800","1","No"
"0xcbb82d22b1624761b62bd807b01b7d491da8b4f5","1","No"
"0xc4f0377225b61166c7d6e41bac9589023d97d187","1","No"
"0x75be7f29f8241f1bac65a6c5aa5ac4ba9365ba11","1","No"
"0xc875a15956b4a47c8e85791d9891577eec762bc2","1","No"
"0xf55c02b021f91752521c0cb74303565f25baccb1","1","No"
"0x30c008198f4046eec4196e4581998e617b27c7fa","1","No"
"0x26fdc242eccc144971e558ff458a4ec21b75d4e8","1","No"
"0x16d23a44b8d0bf07269e07e0bc52fda3afacada7","1","No"
"0x4b80e11d2410f2029ae73628603840dffbf885aa","1","No"
"0xcb630c28658d8b4f0509d628d8d947e6f95ea20a","1","No"
"0x24621aa4dde07f04c57146d83468969010b7489e","1","No"
"0xd03ad690ed8065edfdc1e08197a3ebc71535a7ff","1","No"
"0xedaf58a4a3ee38b3ea6b4462278555fbabc6b361","1","No"
"0xc04c44ecb57c8dfb26bc232b70aa5d8b610c7d4a","1","No"
"0x642d38840ebfda55911f83b1cf8b5fcb1d5fce36","1","No"
"0xb4d8063b3446cec0c536208807241767a0ea6d18","1","No"
"0xc55d35af6a5ff6299ef3fb8632bbac6cce17dc8b","1","No"
"0xd976d3cc17d109889037175b2472af6ca970302d","1","No"
"0x8504a09352555ff1acf9c8a8d9fb5fdcc4161cbc","1","No"
"0x1ccb144b700ec726d37db38c617e154de6d9c0d0","1","No"
"0x885ea391039e0fa3f6833a1f3b6d7433b5b69bb6","1","No"
"0xad05b50b71d1c05e3309e9f99e633a21741b77d9","1","No"
"0xba14d1386d75f6305f78e75355f8a49069bbf755","1","No"
"0x8bc9755938a4a4e4db09d023b00d30b563d678a7","1","No"
"0xaec80b4fbe227198720b1d1b82a12968baa0b144","1","No"
"0x451a2f23b2a18f11ace266c4fe3943aea0d92cac","1","No"
"0x7773a2ee2461226000646112331ff43315f1e055","1","No"
"0x8e7ea7126a10df07b3ed6f425ebf7632d6df1548","1","No"
"0x27b0fc6c4a5a0cf213a570097279a5bde61214d2","1","No"
"0x49e53fb3d5bf1532febad88a1979e33a94844d1d","1","No"
"0x3b59e42d9f33906ff58813f9bb8be58b185d22f2","1","No"
"0x185f0bb3e2773fd6a63343301218e267a80f0424","1","No"
"0x92c0f0bdabc9577623a4da5661090dfe6baa9efd","1","No"
"0x7b29106c9e25df6074e555ed41b368e03f3b85ad","1","No"
"0x8330a84d3c16a55302f921c36979b1067418053a","1","No"
"0xa8ea179454f50083cfe79911dbb3b3e91f047979","1","No"
"0x1985ea157bb4f57bad5e0790761c13c254b6e1bc","1","No"
"0x2cc58dd8ed25c1449f0bfaa7e8fc68e2dfb02162","1","No"
"0x459da68fbf9e09c30ccdaacc377da70f4ea7bd27","1","No"
"0x8b88581440bdbfacbbdec0a9e00afa31d31f7656","1","No"
"0x98defba802b52d1fd68639bf7fc878ec339070d9","1","No"
"0x7f86c79c1d458b03c14e5a6c658100283a1c3cc1","1","No"
"0x7ff4f8fe1dbbba8dc27103359bf96e97a4d44114","1","No"
"0x8dbfa751e85ba82ed3a89df4ed9dfe472d879a89","1","No"
"0x94f19afac68d89eb7577087e6cf5819ab18ffd45","1","No"
"0x5ad7c70ac635b38d1ff1ebd5320374d6182444b0","1","No"
"0x696d181a7961ee66c42f1ebeddc0b48b106c45ad","1","No"
"0xde88d146f61463d582262a1dcdf6ea1323aba34a","1","No"
"0xc97370f22ed5ac4c7b24a8e1ca9d81febb3b9457","1","No"
"0x3aab9b3145df48a22ae337d50d1d66a3b2a3bda0","1","No"
"0xd65c95fabe3286e416580a826213688a2620390b","1","No"
"0x12cd3dca194161fe3535755075499f115982ee63","1","No"
"0x5cfc2c648ba36144644758f8d39553c0ce355fc6","1","No"
"0x64b5f9dd6f23269b966a4c3717e150a6dd264851","1","No"
"0x27695076ef87e7749ee7ca387f47549ee55dade3","1","No"
"0xcd75942b66c1a82d7e04f65a34ce7f93791fa8a8","1","No"
"0x939bac3bad78752763be4dd1da19e8e70995a408","1","No"
"0x1ac81fdcd10b27d2af73ef0f097159cdf0f0aa8a","1","No"
"0xbb7bb43af885549f1bbf5724213ee48b40ebee83","1","No"
"0xa293b747895a00804cca32638ce7029287f120d0","1","No"
"0x335d2d954cec61cb4673780300d890340a29dd99","1","No"
"0x91f7c7dc5a44276482c102178fe1d620b397c276","1","No"
"0xbe36a0f33c677acc378860d73c90a9ec6b0ced21","1","No"
"0xd2e1b76f81b71304daceec93f7d55d0a2abe2307","1","No"
"0xe19e26becff917f057ebb35217fdf4ab3252dffe","1","No"
"0xcf8e24538e6e8c6d7ca711f84539aeac0892e28b","1","No"
"0xf92f3b31380f3d4949821422074219a262d2ba47","1","No"
"0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb","1","No"
"0x4fa4167b3c94a80416bbc768fb919bf3ace9f8c2","1","No"
"0x9c72c98535224c3c045a3d27ff981ed5a1d64d6e","1","No"
