owner,tickLower,tickUpper,Withdrawable amount,amount
0x005ae102dd1ab7b2c56276ebbe32e6db43143f81,-69060,0,0.03479374682,34793746822509200
0x0065981684b5e02f95283b8ce1916b8981206a3d,-76020,0,0.000005837106403,5837106402673
0x0065981684b5e02f95283b8ce1916b8981206a3d,-69060,0,0,0
0x0065981684b5e02f95283b8ce1916b8981206a3d,-6960,0,0,0
0x006970fd32059734e586a323b13fc1ce625f296b,-46080,0,0.0001265418638,126541863793466
0x008e576250f26067ae66756715d6bbdec731711e,-69060,0,0.006197576267,6197576266849230
0x00c865e2114d1c0066809f11f4aed7a8ec2d5173,-76020,0,0.000003753097879,3753097878884
0x00c865e2114d1c0066809f11f4aed7a8ec2d5173,-69060,0,0,0
0x00c865e2114d1c0066809f11f4aed7a8ec2d5173,-6960,0,0,0
0x0149ca45bb12c60796660a5143717f84777c59d0,-10980,-6960,0.000001,1000000000000
0x01a8867091917b01b2726527d12bf6e590269c2f,-69060,0,0,0
0x01c6832dbb2931c4073de5aebc06d1f4fb632b74,-69060,0,0.0000009920554874,992055487382
0x020a4b2be4db2d5287a160bc89420e3fe4051fdc,-24840,0,0.001890293817,1890293817298460
0x028a1978c2be2bed845e637df20530dcff05b8de,-23040,0,0.0005,500000000000000
0x0382faafa6d3920af755fd66db933530cddf4b65,-26040,-20160,0.00003796345707,37963457074302
0x03c8ff631d09f25bd0ef19c2c97a70e9540e4399,-23040,0,0.00032,320000000000000
0x05092960e7517d70593838cfd5ec0685e46cef8b,-48180,-43320,0.000006004123006,6004123006420
0x059aa505f8534c2a49e52a5a57d41e6c9ee6d2bd,-10980,-6960,0.000001,1000000000000
0x06a7f3e459b6a452c579929eb6b83729b5a5ff15,-23040,0,0.007,7000000000000000
0x06aa5e77cf3bec21129ddbf29b531ed742a4109c,-69060,0,0,0
0x06e26ac874124d59e3c32451a4cab91c48d6b32a,-50100,0,0.002698271497,2698271497151660
0x06e26ac874124d59e3c32451a4cab91c48d6b32a,-27060,0,0,0
0x06e26ac874124d59e3c32451a4cab91c48d6b32a,-23040,0,0,0
0x06f720091c6040d51ac18fa3c142ba88afcae458,-93900,0,0.00010443302,104433019957979
0x06f720091c6040d51ac18fa3c142ba88afcae458,-69060,0,0,0
0x06f720091c6040d51ac18fa3c142ba88afcae458,-24840,0,0,0
0x070cb42f348558bcf4a2acf937f1893962cfbc56,-23040,0,0.001278385841,1278385840629150
0x0753b67b47c5f64680e003c6b79dbea8fb48c244,-105960,-34020,0.0001345850139,134585013870658
0x0753b67b47c5f64680e003c6b79dbea8fb48c244,-69060,0,0,0
0x0753b67b47c5f64680e003c6b79dbea8fb48c244,-36900,-34020,0,0
0x075ebaf083b350e7aa9acc46cec2c851bdaaeb05,-48600,-42600,0.000007004958812,7004958811987
0x07c46fb172c19b4ea1a142b6fd81bd323db9208e,-23040,0,0.0007,700000000000000
0x095b82ff43e0c7e6c916cca428247fa0647e564c,-69060,0,0,0
0x0960da039bb8151cacfef620476e8baf34bd9565,-69060,0,307.6425698,307642569768957000000
0x0a5c7480c4e44ff77a4cc92f52a1db5085f08741,-69060,0,0,0
0x0b317f16123d9a0951640946315fc43e1fe0d661,-29940,69060,0.01264293728,12642937284203800
0x0b76e63a40e99ba9f8327d83761cb409d3d7a3cd,-69060,0,0,0
0x0bce7314542a71ca771ab2e2da9b59f6205e2c15,-76020,0,0.000006252261928,6252261927520
0x0bce7314542a71ca771ab2e2da9b59f6205e2c15,-69060,0,0,0
0x0bce7314542a71ca771ab2e2da9b59f6205e2c15,-6960,0,0,0
0x0c62378e1eab27786da0f800e49dec1197efccaf,-32220,-23040,0.0003544593506,354459350564916
0x0c9f37f77bea2c6e6f15c1a8c4d7316a3ee7408b,-69060,0,0,0
0x0d21d993188c6dfadd23368a5bc5e4199a2f3ba8,-93900,0,0.000005483963588,5483963587934
0x0d21d993188c6dfadd23368a5bc5e4199a2f3ba8,-69060,0,0,0
0x0d21d993188c6dfadd23368a5bc5e4199a2f3ba8,-24840,0,0,0
0x0d8be953d7b8143738b8d377ea9a0b82d421f151,-13860,0,0.0001,100000000000000
0x0d9032a97a6c35aa2f7eaec1e4d25b7551c650be,-93060,0,0,0
0x0d9032a97a6c35aa2f7eaec1e4d25b7551c650be,-69060,0,0,0
0x0d9032a97a6c35aa2f7eaec1e4d25b7551c650be,-24000,0,0,0
0x0f60991d8b2dd73c75b1a86b4fea80d5d5adb929,-39120,-35580,0.00003951407088,39514070881570
0x1146effca0ea571d3a43077101d505a28f2a94cf,-29940,69060,0.01264293728,12642937284203800
0x1252ce90ad6a743ce9dddf41cb99d6319750d769,-69060,0,0.000005542032899,5542032899060
0x12641ae0e159c560a6d6731feac64cc494e1d140,-76020,0,0.000003907178908,3907178907673
0x12641ae0e159c560a6d6731feac64cc494e1d140,-69060,0,0,0
0x12641ae0e159c560a6d6731feac64cc494e1d140,-6960,0,0,0
0x12dc0085ca4a1e3497c042605ceedbdd93936346,-69060,0,0,0
