owner,tickLower,tickUpper,netMarginDeposited pre Rewards,netMarginDeposited,realizedPnL,seized for rPnL,balance after rPnL,unrealizedPnL,seized uPnL,final rpnl settlement,upnl settlement,takeHome
0xde1a0cdb836f94e004aea4e14528c463ddc4dda1,-25680,-24840,3,3,-0.001422743964,0.001422743964,2.998577256,6.88E-16,0,0,1.23E-16,2.998577256
0xedd9d8f2c2fffc2adb3d44ba75d2e60c7b2b6517,-24000,-23040,0.52274,0.52274,-0.001083870461,0.001083870461,0.5216561295,6.88E-16,0,0,1.23E-16,0.5216561295
0xff938bd81c2671c28caf920d8015bad9fb816d59,-37860,-24840,0.01,0.01,-0.0000000222,0.0000000222,0.0099999778,-1.21E-20,1.21E-20,0,0,0.0099999778
0xff938bd81c2671c28caf920d8015bad9fb816d59,-30900,-24000,0.001,0.001,-0.000000159,0.000000159,0.000999841,-1.69E-19,1.69E-19,0,0,0.000999841
0x70c9d710036f181965471b9cf6409fd7b0d00f42,-41100,-23040,0.3553,0.3553,-0.0001598144509,0.0001598144509,0.3551401855,-1.72E-16,1.72E-16,0,0,0.3551401855
0x4bb12cc382e36b4b6faf7bdca7708969aed258ef,-35580,-23040,1.54,1.54,-0.001020096968,0.001020096968,1.538979903,-6.88E-16,6.88E-16,0,0,1.538979903
0x8cbe2aad3d0fe571ea1bc851fa7fd84a11b0a321,-23040,-21960,0.05,0.05,-0.000414763746,0.000414763746,0.04958523625,2.15E-17,0,0,3.83E-18,0.04958523625
0x1f29636900a0c96e2c46763e03a3858a886fa621,-29940,-23040,200,200,-0.1628530885,0.1628530885,199.8371469,1.76E-13,0,0,3.14E-14,199.8371469
0x496856bc7952989a7b829181cd7c992f65149390,-69060,-24840,1.246365,1.246365,-0.0000358,0.0000358,1.2463292,-6.45E-17,6.45E-17,0,0,1.2463292
0xdc1a0976e2a0d2f5ff316f102591e6a24a47f247,-69060,-24840,1.245848,1.245848,-0.0000358,0.0000358,1.2458122,-6.45E-17,6.45E-17,0,0,1.2458122
0xc75816eac778f7f0d450f4d3e0f56cef90eaefdb,-27060,-23040,0.45,0.45,-0.000047,0.000047,0.449953,-4.30E-17,4.30E-17,0,0,0.449953
0x9f8c0c02b299b9ef670ab0aa3c372c06782a7f5b,-27060,-23040,400,400,-0.2609589031,0.2609589031,399.7390411,1.76E-13,0,0,3.14E-14,399.7390411
0x8812d115ceea13830825a00e4cf69dfca2a60554,-25680,-23040,1.539054,1.539054,-0.003074095546,0.003074095546,1.535979904,2.75E-15,0,0,4.90E-16,1.535979904
0xb7d25251caca748b40c1f1afb33284170d2c2537,-26400,-24840,0.38,0.38,-0.0000109,0.0000109,0.3799891,1.07E-17,0,0,1.91E-18,0.3799891
0x1d52f3adb0982dfe34fbb4ce481746760d525a3d,-12540,-12240,57.199,53.962128,-677.8852532,53.962128,0,-2.528616907,0,0,0,0
0x1cafe99e328551701d71bffe13acabdad1b7817a,-11220,-11100,356.5241,326.369505,-3693.548678,326.369505,0,-42.6986917,0,0,0,0
0x16d20d382629d3b5ec178844fc253f78d1d04a64,-11220,-11100,27.397791,10.959404,-2160.731579,10.959404,0,-20.76787208,0,0,0,0
