owner,tickLower,tickUpper,Margin,Pending Settlement Cashflow,seized margin,surplus margin,Balance pre Protocol contribution,Protocol contribution,takeHome
0x020b0d4c844e0dbca51c9ab779df0191978c0359,-10980,-6960,1101,0,0,1101,1082.739417,18.26058302,1101
0x020b0d4c844e0dbca51c9ab779df0191978c0359,-69060,0,0.001141,0.004072,0,0.001141,0.001122075999,0.004090924001,0.005213
0x02c5c40425610293b93e2cafaa521ea1e93a6b5e,-23040,6960,1.509651,0.61303,0,1.509651,1.484612755,0.6380682447,2.122681
0x02c5c40425610293b93e2cafaa521ea1e93a6b5e,-69060,0,0.001142,0.21517,0,0.001142,0.001123059413,0.2151889406,0.216312
0x055790737e8d8213072d54648088c157afd695dc,-16080,0,1.054567,0,0,1.054567,1.037076529,0.01749047071,1.054567
0x055790737e8d8213072d54648088c157afd695dc,-16080,9180,0.110013,0.000094,0,0.110013,0.1081883846,0.001918615368,0.110107
0x055790737e8d8213072d54648088c157afd695dc,-69060,0,0.001143,0.177655,0,0.001143,0.001124042828,0.1776739572,0.178798
0x081ea781a87b806b11f3ad6db68118d241ac3c80,-52800,-5700,6.231849,-17.934059,6.231849,0,0,0,0
0x08364e0cc4d2e071e9ba7736fb9ca07cb5ca490c,-69060,0,0.955856,-0.01415,0.01415,0.941706,0.92608738,0.01561861998,0.941706
0x0a4c625d84ac9f3c784ed8c34535f87284f1fb4c,-69060,0,0.008427,46.335384,0,0.008427,0.008287234393,46.33552377,46.343811
0x0a5c7480c4e44ff77a4cc92f52a1db5085f08741,-69060,0,0,0,0,0,0,0,0
0x0aa5b39bc9e7e2ff26dcfec7040db0cdcb61cfae,-9180,-6960,1,0,0,1,0.9834145477,0.01658545233,1
0x0c3caa2a91900727e3cbd8f47dfd79ca96b9f8b2,-69060,0,5100.00137,-243.957319,243.957319,4856.044051,4775.504364,80.53968714,4856.044051
0x0d02730eb746b53b840651458931ef74083c2689,-6960,0,0.3912,0,0,0.3912,0.384711771,0.006488228953,0.3912
0x0e37017316b0577ea07d461d8ab2887107e78cd9,-10980,0,150,0,0,150,147.5121821,2.48781785,150
0x0f1468a9dd8d9165e8a2b7b942fee0e7b65642f6,-69060,0,0.000098,1.184059,0,0.000098,9.64E-05,1.184060625,1.184157
0x1046f167a1a9467c299904a45b790aec6bc5f53f,-23040,23040,1007.53161,-76.204643,76.204643,931.326967,915.880488,15.44647902,931.326967
0x10bd976423f15912ac4a437357c2ea7fb7b572e9,-16080,9180,0.100013,0.000094,0,0.100013,0.09835423916,0.001752760844,0.100107
0x10bd976423f15912ac4a437357c2ea7fb7b572e9,-23040,6960,2.306802,0.610681,0,2.306802,2.268542645,0.6489403546,2.917483
0x10bd976423f15912ac4a437357c2ea7fb7b572e9,-69060,0,0.001827,30.154456,0,0.001827,0.001796698379,30.1544863,30.156283
0x126b5b3919f31597ebcfb418c5f7db4e6dcc2123,-69060,0,0,0,0,0,0,0,0
0x163d1a5708e536605e7b7b4b3b46a95dbf517800,-24840,-23040,0.000001,0,0,0.000001,9.83E-07,1.66E-08,0.000001
0x163d1a5708e536605e7b7b4b3b46a95dbf517800,-69060,0,1.108633,8.144123,0,1.108633,1.09024582,8.16251018,9.252756
0x16b9967fa64d4064dfef0883b678d1566cc56c40,-13140,-13080,28.27594,-104.944395,28.27594,0,0,0,0
0x16b9967fa64d4064dfef0883b678d1566cc56c40,-69060,0,0,0,0,0,0,0,0
0x1930b7f236d94e872a0b9ded104ba092d85a3856,-10980,23040,0.01,0,0,0.01,0.009834145477,0.0001658545233,0.01
